GID,COND,DAY,H,HUMD,OU,PTSH,PTSV,SEAS,SPRV,STAD,SURF,TEMP,V,WDIR,WEEK,WSPD
661,Cloudy,SN,NYJ,90,40.0,13,10,2002,2.0,The Meadowlands,Grass,65.0,MIA,S,10,10
662,Mostly Cloudy,MN,DEN,75,46.5,10,34,2002,5.0,Invesco Field at Mile High,Grass,32.0,OAK,NE,10,6
663,Dome,SUN,ATL,\N,51.0,24,17,2002,3.0,Georgia Dome,AstroTurf,,NO,\N,11,\N
664,Cloudy,SUN,CIN,72,40.5,20,27,2002,-3.5,Paul Brown Stadium,Grass,36.0,CLE,NW,11,9
665,Dome,SUN,DET,\N,43.0,14,31,2002,-3.0,Ford Field,FieldTurf,62.0,NYJ,\N,11,\N
666,Clear,SUN,HOU,36,37.0,21,24,2002,-6.0,Reliant Stadium,Grass,66.0,JAC,SW,11,4
667,Dome,SUN,IND,\N,40.5,20,3,2002,7.0,RCA Dome,AstroTurf,,DAL,\N,11,\N
668,Sunny,SUN,KC,62,51.0,17,16,2002,3.5,Arrowhead Stadium,Grass,48.0,BUF,SE,11,13
669,Cloudy,SUN,MIA,65,35.0,26,7,2002,4.5,Pro Player Stadium,Grass,68.0,BAL,NW,11,12
670,Dome,SUN,MIN,\N,50.0,31,21,2002,-6.5,Metrodome,AstroTurf,65.0,GB,\N,11,\N
671,Light Rain,SUN,NYG,92,36.5,19,17,2002,3.5,Giants Stadium,Grass,42.0,WAS,NE,11,8
672,Light Rain,SUN,PHI,89,37.5,38,14,2002,11.0,Veterans,NeXTurf,43.0,ARI,N,11,8
673,Sunny,SUN,SD,54,42.5,20,17,2002,-2.5,Qualcomm Stadium,Grass,72.0,SF,WSW,11,9
674,Partly Sunny,SUN,SEA,71,42.5,9,31,2002,-5.0,Seahawks Stadium,FieldTurf,53.0,DEN,SW,11,8
675,Chance Rain,SUN,TB,54,34.5,23,10,2002,9.0,Raymond James Stadium,Grass,64.0,CAR,NW,11,25
676,Sunny,SUN,TEN,47,44.0,31,23,2002,-3.0,The Coliseum,Grass,42.0,PIT,WNW,11,12
677,Clear,SN,OAK,67,48.0,27,20,2002,3.5,Network Associates Coliseuim,Grass,61.0,NE,NW,11,5
678,Dome,MN,STL,\N,44.0,21,16,2002,10.0,Edward Jones Dome,AstroTurf,,CHI,\N,11,\N
679,Clear,SUN,ARI,15,44.0,20,41,2002,-8.0,Sun Devil Stadium,Grass,75.0,OAK,SW,12,5
680,Mostly Sunny,SUN,BAL,47,38.0,13,12,2002,-2.0,Ravens Stadium,Grass,53.0,TEN,W,12,12
681,Sunny,SUN,CAR,39,37.0,0,41,2002,-3.5,Ericsson Stadium,Grass,59.0,ATL,\N,12,\N
682,Partly Cloudy,SUN,CHI,44,38.0,20,17,2002,5.5,Memorial Stadium,AstroPlay,45.0,DET,SW,12,4
683,Partly Cloudy,SUN,DAL,72,34.5,21,19,2002,-2.5,Texas Stadium,AstroTurf,63.0,JAC,N,12,5
684,\N,SUN,HOU,44,34.0,16,14,2002,-5.5,Reliant Stadium,Grass,78.0,NYG,E,12,1
685,Mostly Sunny,SUN,MIA,59,36.5,30,3,2002,3.0,Pro Player Stadium,Grass,77.0,SD,E,12,9
686,Partly Cloudy,SUN,NE,\N,46.0,24,17,2002,7.5,Gillette Stadium,Grass,49.0,MIN,W,12,28
687,Dome,SUN,NO,\N,47.5,15,24,2002,5.5,Louisiana Superdome,AstroTurf,66.0,CLE,\N,12,\N
688,Partly Cloudy,SUN,NYJ,66,45.5,31,13,2002,3.0,The Meadowlands,Grass,50.0,BUF,NW,12,14
689,Partly Cloudy,SUN,PIT,63,43.0,29,21,2002,10.5,Heinz Field,Grass,45.0,CIN,SW,12,14
690,Sunny,SUN,SEA,77,43.5,39,32,2002,-3.0,Seahawks Stadium,FieldTurf,50.0,KC,N,12,3
691,Clear,SUN,TB,63,39.0,21,7,2002,3.0,Raymond James Stadium,Grass,70.0,GB,W,12,5
692,Clear,SUN,WAS,68,41.0,20,17,2002,-4.0,FedExField,Grass,55.0,STL,S,12,7
693,Light Snow,SN,DEN,85,43.0,20,23,2002,6.5,Invesco Field at Mile High,Grass,25.0,IND,E,12,6
694,Clear,MN,SF,28,38.0,17,38,2002,7.0,3COM Park,Grass,64.0,PHI,SE,12,8
695,Clear,THU,DAL,37,35.0,27,20,2002,-1.0,Texas Stadium,AstroTurf,58.0,WAS,N,13,5
696,Dome,THU,DET,\N,43.5,12,20,2002,-5.5,Ford Field,FieldTurf,62.0,NE,\N,13,\N
697,Snow,SUN,BUF,72,38.0,38,21,2002,-2.5,Ralph Wilson Stadium,AstroTurf,25.0,MIA,W,13,15
698,Sunny,SUN,CIN,37,38.5,23,27,2002,-3.0,Paul Brown Stadium,Grass,29.0,BAL,SW,13,13
699,\N,SUN,CLE,\N,34.5,6,13,2002,8.0,Cleveland Browns Stadium,Grass,25.0,CAR,WSW,13,19
700,Flurries,SUN,GB,60,38.5,30,20,2002,9.5,Lambeau Field,Grass,23.0,CHI,SW,13,10
701,Dome,SUN,IND,\N,40.0,19,3,2002,11.0,RCA Dome,AstroTurf,,HOU,\N,13,\N
702,Clear,SUN,JAC,39,43.5,23,25,2002,-3.0,Alltel Stadium,Grass,53.0,PIT,W,13,8
703,Sunny,SUN,KC,34,46.0,49,0,2002,9.5,Arrowhead Stadium,Grass,44.0,ARI,SW,13,17
704,Dome,SUN,MIN,\N,47.5,24,30,2002,-3.5,Metrodome,AstroTurf,60.0,ATL,\N,13,\N
705,Partly Cloudy,SUN,NYG,50,34.0,29,32,2002,3.0,Giants Stadium,Grass,35.0,TEN,NW,13,18
706,Partly Cloudy,SUN,PHI,32,38.5,10,3,2002,-2.5,Veterans,NeXTurf,34.0,STL,W,13,23
707,Clear,SUN,SD,68,41.0,30,27,2002,-3.0,Qualcomm Stadium,Grass,64.0,DEN,WSW,13,7
708,Sunny,SUN,SF,14,44.0,31,24,2002,9.0,3COM Park,Grass,58.0,SEA,\N,13,\N
709,Dome,SN,NO,\N,40.0,23,20,2002,0.0,Louisiana Superdome,AstroTurf,51.0,TB,\N,13,\N
710,Hazy,MN,OAK,74,48.0,26,20,2002,6.0,Network Associates Coliseum,Grass,57.0,NYJ,NW,13,7
711,Clear,SUN,ARI,32,39.5,23,20,2002,1.0,Sun Devil Stadium,Grass,67.0,DET,VAR,14,3
712,Partly Cloudy,SUN,BAL,57,41.5,25,37,2002,-2.5,Ravens Stadium,Grass,45.0,NO,SW,14,7
713,Cloudy,SUN,CAR,92,36.5,52,31,2002,3.5,Ericsson Stadium,Grass,38.0,CIN,\N,14,\N
714,Cloudy,SUN,DAL,0,39.5,27,31,2002,-4.5,Texas Stadium,AstroTurf,52.0,SF,N,14,5
715,Clear,SUN,JAC,67,40.5,20,21,2002,2.0,Alltel Stadium,Grass,63.0,CLE,NE,14,6
716,Mostly Cloudy,SUN,KC,67,44.5,49,10,2002,5.0,Arrowhead Stadium,Grass,38.0,STL,E,14,12
717,Partly Cloudy,SUN,NE,\N,44.5,27,17,2002,4.5,Gillette Stadium,Grass,44.0,BUF,WSW,14,15
718,Cloudy,SUN,NYJ,67,43.5,19,13,2002,-1.0,The Meadowlands,Grass,42.0,DEN,W,14,13
719,Cloudy,SUN,PIT,76,38.0,6,24,2002,13.5,Heinz Field,Grass,35.0,HOU,W,14,13
720,Sunny,SUN,SD,61,46.0,7,27,2002,-3.0,Qualcomm Stadium,Grass,68.0,OAK,WSW,14,8
721,Sunny,SUN,SEA,74,38.0,20,27,2002,-3.0,Seahawks Stadium,FieldTurf,45.0,PHI,S,14,5
722,Chance Rain,SUN,TB,75,38.0,34,10,2002,4.0,Raymond James Stadium,Grass,74.0,ATL,ENE,14,7
723,Mostly Cloudy,SUN,TEN,73,43.0,27,17,2002,2.0,The Coliseum,Grass,42.0,IND,SSW,14,3
724,Partly Cloudy,SUN,WAS,51,37.5,21,27,2002,2.5,FedExField,Grass,47.0,NYG,\N,14,\N
725,Clear,SN,GB,55,43.5,26,22,2002,9.5,Lambeau Field,Grass,11.0,MIN,W,14,5
726,Mostly Cloudy,MN,MIA,84,37.0,27,9,2002,9.5,Pro Player Stadium,Grass,72.0,CHI,SE,14,14
727,Dome,SUN,ATL,\N,45.0,24,30,2002,9.5,Georgia Dome,AstroTurf,72.0,SEA,\N,15,\N
728,Light Rain,SUN,BUF,86,41.5,20,13,2002,3.0,Ralph Wilson Stadium,AstroTurf,36.0,SD,SW,15,15
729,Partly Cloudy,SUN,CHI,75,36.5,20,13,2002,-6.5,Memorial Stadium,AstroPlay,43.0,NYJ,W,15,8
730,Fair,SUN,CIN,79,43.5,15,29,2002,-3.0,Paul Brown Stadium,Grass,42.0,JAC,SW,15,14
731,Partly Sunny,SUN,CLE,58,41.0,23,28,2002,-2.0,Cleveland Browns Stadium,Grass,38.0,IND,SW,15,15
732,Mostly Cloudy,SUN,DEN,26,47.0,31,24,2002,3.5,Invesco Field at Mile High,Grass,54.0,KC,SW,15,3
733,Dome,SUN,DET,\N,37.5,20,23,2002,-8.5,Ford Field,FieldTurf,68.0,TB,\N,15,\N
734,\N,SUN,HOU,58,35.0,19,23,2002,-3.0,Reliant Stadium,Grass,70.0,BAL,E,15,3
735,Mostly Sunny,SUN,MIA,50,43.0,23,17,2002,1.5,Pro Player Stadium,Grass,66.0,OAK,N,15,7
736,Dome,SUN,NO,\N,50.0,31,32,2002,7.0,Louisiana Superdome,AstroTurf,58.0,MIN,\N,15,\N
737,Mostly Cloudy,SUN,NYG,60,34.5,37,7,2002,5.0,Giants Stadium,Grass,44.0,DAL,SW,15,13
738,Partly Cloudy,SUN,PHI,58,37.5,34,21,2002,7.5,Veterans Stadium,NeXTurf,42.0,WAS,WNW,15,21
739,Mostly Cloudy,SUN,PIT,70,39.0,30,14,2002,8.5,Heinz Field,Grass,38.0,CAR,SW,15,19
740,Rain,SUN,SF,86,44.5,14,20,2002,3.0,3COM Park,Grass,58.0,GB,S,15,22
741,Dome,SN,STL,\N,43.0,30,28,2002,11.0,Edward Jones Dome,AstroTurf,,ARI,\N,15,\N
742,Cloudy,MN,TEN,81,43.5,24,7,2002,2.0,The Coliseum,Grass,57.0,NE,S,15,3
743,Cloudy,SAT,ARI,65,41.0,14,17,2002,-4.0,Sun Devil Stadium,Grass,50.0,SF,\N,16,\N
744,Clear,SAT,DAL,20,37.0,3,27,2002,-6.5,Texas Stadium,AstroTurf,62.0,PHI,N,16,5
745,Dome,SAT,MIN,\N,45.5,20,17,2002,-3.0,Metrodome,AstroTurf,65.0,MIA,\N,16,\N
746,Dome,SUN,ATL,\N,43.5,36,15,2002,10.5,Georgia Dome,AstroTurf,72.0,DET,\N,16,\N
747,Partly Cloudy,SUN,BAL,43,40.5,13,14,2002,2.5,Ravens Stadium,Grass,53.0,CLE,SW,16,7
748,Sunny,SUN,CAR,55,36.0,24,14,2002,3.0,Ericsson Stadium,Grass,56.0,CHI,SSW,16,9
749,Sunny,SUN,CIN,71,48.0,20,13,2002,-7.0,Paul Brown Stadium,Grass,44.0,NO,W,16,25
750,Flurries,SUN,GB,66,43.0,10,0,2002,6.5,Lambeau Field,Grass,27.0,BUF,W,16,25
751,Dome,SUN,IND,\N,41.5,27,44,2002,5.0,RCA Dome,AstroTurf,,NYG,\N,16,\N
752,Clear,SUN,JAC,41,43.0,10,28,2002,-3.0,Alltel Stadium,Grass,64.0,TEN,W,16,10
753,Sunny,SUN,KC,54,44.0,24,22,2002,1.5,Arrowhead Stadium,Grass,33.0,SD,W,16,6
754,Sunny,SUN,OAK,47,47.5,28,16,2002,4.0,Network Associates Coliseum,Grass,56.0,DEN,NW,16,13
755,Cloudy,SUN,SEA,76,46.0,30,10,2002,1.0,Seahawks Stadium,FieldTurf,45.0,STL,SE,16,5
756,Sunny,SUN,WAS,51,36.5,26,10,2002,6.5,FedExField,Grass,54.0,HOU,SW,16,12
757,Partly Cloudy,SN,NE,\N,41.5,17,30,2002,3.5,Gillette Stadium,Grass,40.0,NYJ,WSW,16,20
758,Chance Rain,MN,TB,70,39.5,7,17,2002,4.0,Raymond James Stadium,Grass,64.0,PIT,ESE,16,9
759,Sunny,SAT,NYG,61,37.5,10,7,2002,-1.5,Giants Stadium,Grass,34.0,PHI,NW,17,10
760,Rain,SAT,OAK,89,47.5,24,0,2002,7.5,Network Associates Coliseum,Grass,50.0,KC,W,17,24
761,Mostly Cloudy,SUN,BUF,66,44.5,27,9,2002,7.0,Ralph Wilson Stadium,AstroTurf,35.0,CIN,W,17,9
762,Cloudy,SUN,CLE,85,40.5,24,16,2002,-2.5,Cleveland Browns Stadium,Grass,34.0,ATL,VAR,17,9
763,Sunny,SUN,DEN,17,42.0,37,7,2002,11.0,Invesco Field at Mile High,Grass,57.0,ARI,W,17,6
764,Dome,SUN,DET,\N,47.5,36,38,2002,-3.5,Ford Field,FieldTurf,68.0,MIN,\N,17,\N
765,\N,SUN,HOU,0,35.5,3,13,2002,-8.5,Reliant Stadium,Grass,64.0,TEN,SSE,17,7
766,Dome,SUN,IND,\N,40.5,20,13,2002,8.0,RCA Dome,AstroTurf,,JAC,\N,17,\N
767,Partly Cloudy,SUN,NE,\N,38.0,27,24,2002,0.0,Gillette Stadium,Grass,40.0,MIA,NW,17,18
768,Dome,SUN,NO,\N,44.0,6,10,2002,7.0,Louisiana Superdome,AstroTurf,67.0,CAR,\N,17,\N
769,Cloudy,SUN,NYJ,62,40.5,42,17,2002,1.5,The Meadowlands,Grass,40.0,GB,NW,17,12
770,Cloudy,SUN,PIT,87,38.0,34,31,2002,7.5,Heinz Field,Grass,32.0,BAL,W,17,6
771,Partly Cloudy,SUN,SD,87,43.0,28,31,2002,3.0,Qualcomm Stadium,Grass,61.0,SEA,WSW,17,8
772,Sunny,SUN,WAS,56,36.5,20,14,2002,6.5,FedExField,Grass,46.0,DAL,NW,17,13
773,Partly Cloudy,SN,CHI,\N,33.5,0,15,2002,-6.5,Memorial Stadium,AstroPlay,38.0,TB,SE,17,7
774,Dome,MN,STL,\N,39.0,31,20,2002,2.5,Edwards Jones Dome,AstroTurf,,SF,\N,17,\N
775,Flurries,SAT,GB,65,40.0,7,27,2002,6.5,Lambeau Field,Grass,31.0,ATL,SE,18,5
776,Cloudy,SAT,NYJ,75,41.5,41,0,2002,6.0,The Meadowlands,Grass,35.0,IND,NW,18,10
777,Light Snow,SUN,PIT,90,42.5,36,33,2002,7.5,Heinz Field,Grass,27.0,CLE,NE,18,5
778,Sunny,SUN,SF,96,40.0,39,38,2002,3.0,3COM Park,Grass,53.0,NYG,N,18,5
779,Clear,SAT,PHI,35,38.5,20,6,2002,7.5,Veterans Stadium,NeXturf,29.0,ATL,W,19,10
780,Sunny,SAT,TEN,31,43.5,34,31,2002,4.0,The Coliseum,Grass,34.0,PIT,WNW,19,9
781,Mostly Cloudy,SUN,OAK,72,47.5,30,10,2002,5.5,Network Associates Coliseum,Grass,61.0,NYJ,S,19,13
782,Chance Rain,SUN,TB,34,39.5,31,6,2002,6.0,Raymond James Stadium,Grass,54.0,SF,NE,19,10
783,Clear,SUN,OAK,80,46.5,41,24,2002,7.5,Network Associates Colisuem,Grass,52.0,TEN,NW,20,9
784,Mostly Cloudy,SUN,PHI,48,34.0,10,27,2002,4.0,Veterans Stadium,NeXturf,26.0,TB,WNW,20,14
785,Sunny,SB,TB,21,43.5,48,21,2002,-3.5,Qualcomm Stadium,Grass,81.0,OAK,WSW,21,8
786,Cloudy,THU,WAS,82,41.0,16,13,2003,3.0,FedExField,Grass,72.0,NYJ,S,1,7
787,Partly Sunny,SUN,BUF,75,46.0,31,0,2003,0.0,Ralph Wilson Stadium,AstroTurf,72.0,NE,SW,1,15
788,Mostly Cloudy,SUN,CAR,73,34.5,24,23,2003,4.0,Ericsson Stadium,Grass,72.0,JAC,N,1,9
789,Partly Cloudy,SUN,CIN,70,43.5,10,30,2003,-6.0,Paul Brown Stadium,Grass,72.0,DEN,E,1,6
790,Sunny,SUN,CLE,42,46.0,6,9,2003,0.0,Cleveland Browns Stadium,Grass,73.0,IND,\N,1,\N
791,Partly Cloudy,SUN,DAL,39,36.5,13,27,2003,2.0,Texas Stadium,AstroTurf,82.0,ATL,S,1,8
792,Dome,SUN,DET,\N,38.5,42,24,2003,4.0,Ford Field,FieldTurf,70.0,ARI,\N,1,\N
793,Mostly Sunny,SUN,GB,78,47.0,25,30,2003,5.0,Lambeau Field,Grass,71.0,MIN,NE,1,4
794,Clear,SUN,KC,36,47.0,27,14,2003,5.5,Arrowhead Stadium,Grass,77.0,SD,SE,1,6
795,Partly Cloudy,SUN,MIA,69,34.5,20,21,2003,14.0,Pro Player Stadium,Grass,89.0,HOU,W,1,6
796,Sunny,SUN,NYG,48,46.0,23,13,2003,0.0,Giants Stadium,FieldTurf,78.0,STL,N,1,5
797,Mostly Sunny,SUN,PIT,57,39.0,34,15,2003,5.0,Heinz Field,Grass,71.0,BAL,\N,1,\N
798,Mostly Sunny,SUN,SF,70,40.5,49,7,2003,6.5,3COM Park,Grass,66.0,CHI,W,1,16
799,Cloudy,SUN,SEA,68,47.5,27,10,2003,3.0,Seahawks Stadium,FieldTurf,66.0,NO,N,1,6
800,Partly Cloudy,SN,TEN,62,46.0,25,20,2003,3.0,The Coliseum,Grass,75.0,OAK,NE,1,9
801,Cloudy,MN,PHI,68,36.0,0,17,2003,3.0,Lincoln Financial Field,Grass,74.0,TB,E,1,10
802,\N,SUN,ARI,14,44.5,0,38,2003,-4.5,Sun Devil Stadium,Grass,98.0,SEA,E,2,7
803,Dome,SUN,ATL,\N,39.5,31,33,2003,3.0,Georgia Dome,AstroTurf,,WAS,\N,2,\N
804,Mostly Cloudy,SUN,BAL,83,40.5,33,13,2003,2.0,M & T Bank Stadium,MomentumTurf,73.0,CLE,S,2,7
805,Rain,SUN,GB,93,46.0,31,6,2003,6.5,Lambeau Field,Grass,63.0,DET,NW,2,12
806,Dome,SUN,IND,\N,44.0,33,7,2003,2.0,RCA Dome,AstroTurf,,TEN,\N,2,\N
807,Clear,SUN,JAC,62,43.0,17,38,2003,-2.5,Alltel Stadium,Grass,86.0,BUF,NE,2,6
808,Clear,SUN,KC,60,48.0,41,20,2003,3.0,Arrowhead Stadium,Grass,67.0,PIT,NW,2,10
809,Dome,SUN,NO,\N,40.5,31,10,2003,8.0,Louisiana Superdome,Grass,84.0,HOU,\N,2,\N
810,\N,SUN,NYJ,96,37.0,10,21,2003,-3.0,The Meadowlands,FieldTurf,79.0,MIA,ESE,2,10
811,Sunny,SUN,OAK,66,45.0,23,20,2003,12.0,Network Associates Coliseum,Grass,80.0,CIN,S,2,13
812,Mostly Cloudy,SUN,PHI,67,38.0,10,31,2003,4.5,Lincoln Financial Field,Grass,82.0,NE,S,2,10
813,Sunny,SUN,SD,69,43.0,13,37,2003,-3.0,Qualcomm Stadium,Grass,73.0,DEN,WSW,2,8
814,Dome,SUN,STL,\N,47.0,27,24,2003,3.0,Edward Jones Dome,AstroTurf,,SF,\N,2,\N
815,Partly Cloudy,SUN,TB,34,34.5,9,12,2003,9.5,Raymond James Stadium,Grass,91.0,CAR,E,2,5
816,Dome,SN,MIN,\N,45.0,24,13,2003,8.5,Metrodome,AstroTurf,64.0,CHI,\N,2,\N
817,Rain,MN,NYG,0,37.0,32,35,2003,7.5,Giants Stadium,FieldTurf,72.0,DAL,E,2,9
818,\N,SUN,ARI,7,43.0,20,13,2003,-7.5,Sun Devil Stadium,Grass,102.0,GB,VAR,3,4
819,Dome,SUN,ATL,\N,35.5,10,31,2003,-4.0,Georgia Dome,AstroTurf,72.0,TB,\N,3,\N
820,Sunny,SUN,CIN,66,46.0,10,17,2003,-4.5,Paul Brown Stadium,Grass,73.0,PIT,SE,3,6
821,Dome,SUN,DET,\N,47.0,13,23,2003,-3.5,Ford Field,FieldTurf,74.0,MIN,\N,3,\N
822,Closed Roof,SUN,HOU,\N,43.5,14,42,2003,-7.5,Reliant Stadium,Grass,,KC,\N,3,\N
823,Dome,SUN,IND,\N,43.0,23,13,2003,7.5,RCA Dome,AstroTurf,,JAC,\N,3,\N
824,Sunny,SUN,NE,55,37.5,23,16,2003,6.5,Gillette Stadium,Grass,71.0,NYJ,E,3,10
825,Sunny,SUN,SD,77,39.0,10,24,2003,-1.0,Qualcomm Stadium,Grass,74.0,BAL,WSW,3,8
826,Sunny,SUN,SF,50,44.0,12,13,2003,7.0,3COM Park,Grass,87.0,CLE,NE,3,3
827,Sunny,SUN,SEA,60,47.5,24,23,2003,3.0,Seahawks Stadium,FieldTurf,63.0,STL,VAR,3,7
828,Partly Cloudy,SUN,TEN,71,44.0,27,12,2003,4.5,The Coliseum,Grass,74.0,NO,SSE,3,3
829,Sunny,SUN,WAS,68,43.0,21,24,2003,2.5,FedExField,Grass,77.0,NYG,NE,3,7
830,Mostly Cloudy,SN,MIA,67,40.0,17,7,2003,3.0,Pro Player Stadium,Grass,84.0,BUF,E,3,16
831,Clear,MN,DEN,18,45.0,31,10,2003,5.0,Invesco Field at Mile High,Grass,72.0,OAK,E,3,7
832,Mostly Cloudy,SUN,BAL,51,44.0,10,17,2003,-3.0,M & T Bank Stadium,MomentumTurf,70.0,KC,NNW,4,9
833,Mostly Cloudy,SUN,BUF,53,40.0,13,23,2003,3.0,Ralph Wilson Stadium,AstroPlay,59.0,PHI,W,4,12
834,Partly Cloudy,SUN,CAR,41,36.0,23,3,2003,6.0,Ericsson Stadium,Grass,75.0,ATL,NW,4,10
835,Sunny,SUN,CLE,58,40.5,14,21,2003,4.5,Cleveland Browns Stadium,Grass,55.0,CIN,W,4,12
836,Sunny,SUN,DEN,26,43.5,20,16,2003,12.0,Invesco Field at Mile High,Grass,66.0,DET,SE,4,9
837,Partly Cloudy,SUN,HOU,50,38.0,24,20,2003,-3.0,Reliant Stadium,Grass,79.0,JAC,NE,4,15
838,Dome,SUN,MIN,\N,44.5,35,7,2003,2.0,Metrodome,AstroTurf,60.0,SF,\N,4,\N
839,Cloudy,SUN,NYJ,0,36.5,6,17,2003,3.0,The Meadowlands,FieldTurf,65.0,DAL,NNW,4,9
840,Cloudy,SUN,OAK,75,42.5,34,31,2003,7.0,Network Associates Coliseum,Grass,63.0,SD,S,4,14
841,Partly Cloudy,SUN,PIT,60,44.0,13,30,2003,3.0,Heinz Field,Grass,60.0,TEN,WNW,4,8
842,Dome,SUN,STL,\N,45.5,37,13,2003,10.5,Edward Jones Dome,AstroTurf,,ARI,\N,4,\N
843,Sunny,SUN,WAS,61,42.5,20,17,2003,3.0,FedExField,Grass,65.0,NE,SW,4,13
844,Dome,SN,NO,\N,42.5,21,55,2003,-1.5,Louisiana Superdome,AstroTurf,82.0,IND,\N,4,\N
845,Partly Cloudy,MN,CHI,46,41.5,23,38,2003,-4.0,Soldier Field,Grass,58.0,GB,W,4,3
846,Dome,SUN,ATL,\N,43.0,26,39,2003,-4.0,Georgia Dome,AstroTurf,,MIN,\N,5,\N
847,Mostly Sunny,SUN,BUF,49,40.0,22,16,2003,8.0,Ralph Wilson Stadium,AstroPlay,51.0,CIN,SW,5,15
848,Mostly Sunny,SUN,CAR,43,37.5,19,13,2003,6.5,Ericsson Stadium,Grass,71.0,NO,N,5,9
849,Mostly Sunny,SUN,CHI,59,42.5,24,21,2003,-4.0,Soldier Field,Grass,58.0,OAK,E,5,8
850,Cloudy,SUN,DAL,90,37.0,24,7,2003,7.0,Texas Stadium,AstroTurf,70.0,ARI,W,5,8
851,Mostly Sunny,SUN,GB,49,45.5,35,13,2003,2.0,Lambeau Field,Grass,48.0,SEA,N,5,5
852,Clear,SUN,JAC,47,42.0,27,21,2003,3.0,Alltel Stadium,Grass,84.0,SD,NE,5,5
853,Clear,SUN,KC,60,45.5,24,23,2003,3.0,Arrowhead Stadium,Grass,69.0,DEN,W,5,8
854,Sunny,SUN,NE,61,40.5,38,30,2003,-1.0,Gillette Stadium,Grass,53.0,TEN,W,5,8
855,Partly Cloudy,SUN,NYG,58,37.5,10,23,2003,0.0,Giants Stadium,FieldTurf,55.0,MIA,WNW,5,13
856,Partly Cloudy,SUN,PHI,39,39.0,27,25,2003,5.5,Lincoln Financial Field,Grass,63.0,WAS,WNW,5,12
857,Sunny,SUN,SF,70,41.0,24,17,2003,7.0,3COM Park,Grass,66.0,DET,N,5,6
858,Fair,SN,PIT,59,42.0,13,33,2003,7.0,Heinz Field,Grass,51.0,CLE,NW,5,3
859,Rain,MN,TB,60,37.0,35,38,2003,4.0,Raymond James Stadium,Grass,82.0,IND,\N,5,\N
860,\N,SUN,ARI,23,37.0,18,26,2003,-5.5,Sun Devil Stadium,Grass,96.0,BAL,E,6,6
861,Cloudy,SUN,CLE,0,44.0,13,7,2003,3.0,Cleveland Browns Stadium,Grass,62.0,OAK,W,6,14
862,Cloudy,SUN,DAL,68,37.5,23,21,2003,1.0,Texas Stadium,AstroTurf,70.0,PHI,N,6,7
863,Sunny,SUN,DEN,10,44.5,17,14,2003,6.5,Invesco Field at Mile High,Grass,73.0,PIT,S,6,5
864,Sunny,SUN,GB,57,48.0,34,40,2003,1.5,Lambeau Field,Grass,60.0,KC,W,6,17
865,Dome,SUN,IND,\N,38.0,20,23,2003,5.0,RCA Dome,AstroTurf,,CAR,\N,6,\N
866,Chance Rain,SUN,JAC,87,38.0,10,24,2003,-3.0,Alltel Stadium,Grass,75.0,MIA,E,6,13
867,Rain,SUN,NE,94,41.0,17,6,2003,3.0,Gillette Stadium,Grass,55.0,NYG,NE,6,13
868,Dome,SUN,NO,\N,42.0,20,13,2003,5.5,Louisiana Superdome,AstroTurf,76.0,CHI,\N,6,\N
869,Cloudy,SUN,NYJ,87,37.5,30,3,2003,-2.5,The Meadowlands,FieldTurf,65.0,BUF,NE,6,5
870,Mostly Cloudy,SUN,TEN,78,39.5,38,17,2003,9.5,The Coliseum,Grass,69.0,HOU,NNW,6,3
871,Sunny,SUN,WAS,86,37.5,13,35,2003,-3.0,FedExField,Grass,71.0,TB,N,6,7
872,Partly Sunny,SN,SEA,72,45.0,20,19,2003,3.5,Seahawks Stadium,FieldTurf,59.0,SF,N,6,16
873,Dome,MN,STL,\N,45.5,36,0,2003,11.0,Edward Jones Dome,AstroTurf,,ATL,\N,6,\N
874,Dome,SUN,ATL,\N,41.0,17,45,2003,-1.5,Georgia Dome,AstroTurf,,NO,\N,7,\N
875,Mostly Cloudy,SUN,BUF,83,39.0,24,7,2003,3.0,Ralph Wilson Stadium,AstroPlay,44.0,WAS,N,7,6
876,Clear,SUN,CAR,54,37.5,17,37,2003,1.5,Ericsson Stadium,Grass,67.0,TEN,VAR,7,3
877,Sunny,SUN,CIN,64,36.5,34,26,2003,-2.0,Paul Brown Stadium,Grass,63.0,BAL,S,7,3
878,Sunny,SUN,CLE,50,41.0,20,26,2003,5.0,Cleveland Browns Stadium,Grass,58.0,SD,\N,7,\N
879,Dome,SUN,DET,\N,39.0,7,38,2003,-3.0,Ford Field,FieldTurf,74.0,DAL,\N,7,\N
880,Closed Roof,SUN,HOU,\N,37.5,14,19,2003,-3.0,Reliant Stadium,Grass,,NYJ,\N,7,\N
881,Mostly Sunny,SUN,MIA,60,37.5,13,19,2003,5.5,Pro Player Stadium,Grass,84.0,NE,E,7,9
882,Dome,SUN,MIN,\N,44.0,28,20,2003,3.5,Metrodome,AstroTurf,62.0,DEN,\N,7,\N
883,Cloudy,SUN,NYG,89,37.5,10,14,2003,3.0,Giants Stadium,FieldTurf,51.0,PHI,N,7,9
884,Sunny,SUN,SF,72,39.0,24,7,2003,-3.5,3COM Park,Grass,65.0,TB,NW,7,7
885,Mostly Sunny,SUN,SEA,84,41.5,24,17,2003,11.0,Seahawks Stadium,FieldTurf,63.0,CHI,SW,7,8
